🎨	structure,format
⚡	performance,optimization
🔥	burn,remove,discard
🐛	bug,fix
🚑	critical,hotfix
✨	new,feature
📝	memo,docs,readme,note
🚀	deploy,ship
💄	ui,style
🎉	initial,first,init
✅	tests,test
🔒	security,vulnerability
🍎	apple,macos
🐧	gnu,linux
🏁	microsoft,windows
🤖	android
🍏	apple,ios
🔖	release,version,tag,bump
🚨	linter,lint,check,prettify
🚧	in_progress,draft,wip
💚	fix,ci,build
⬇	downgrade,dependencies,deps,requirements
⬆	upgrade,dependencies,deps,requirements
📌	pin,pinning,freeze,dependencies,deps,requirements
👷	add,ci,build
📈	analytics,tracking,track,statistics,stats,metrics
♻	refactoring
🐳	docker,container
➕	add,dependency,dependencies,deps,requirements
➖	remove,dependency,dependencies,deps,requirements
🔧	change,configuration,config,settings,options
🌐	internationalization,localization,translation
✏	typo
💩	bad,fixme,smell,poo,shit
⏪	revert
🔀	merge
📦	update,compiled,binary,executable,packages,packaging,rpm,deb
👽	update,external,api,integration
🚚	move,rename
📄	license,licensing,copying,copyright
💥	changes,breaking,incompatible
🍱	assets
👌	review,code_review,codereview
♿	accessibility
💡	docs,docstring,comment
🍻	beer,vodka,drunk,chemicals,modified
💬	update,text,literals
🗃	database,db,migrations
🔊	add,logs,logging
🔇	remove,logs,logging,silence,mute
👥	contributors,authors,credits
🚸	ux,usability
🏗	architecture,components
📱	responsive,mobile,tablet,screen
🤡	mock,stub
🍳	easter,egg,hidden
🙈	gitignore,dockerignore,exclude
📸	snapshots
⚗	experiment,research,science
🔍	seo,search
☸	kubernetes,k8s
🏷	types,typing,flow,mypy
